archivo,orden,nivel,seccion
ab-testing-bayesiano.html,1,H1,Test A/B bayesiano — Beta-Binomial
ab-testing-bayesiano.html,2,H2,Calculadora
ab-testing-bayesiano.html,3,H3,Modelo Beta-Binomial
ab-testing-bayesiano.html,4,H3,Elección de la prior
ab-testing-bayesiano.html,5,H3,P(B > A) mediante Monte Carlo
ab-testing-bayesiano.html,6,H3,Ejemplo resuelto
ab-testing-bayesiano.html,7,H3,¿Qué calcula esta herramienta?
ab-testing-bayesiano.html,8,H3,Interpretación de los resultados
ab-testing-bayesiano.html,9,H3,Ventajas del enfoque bayesiano
ab-testing-bayesiano.html,10,H3,Calculadoras relacionadas
ab-testing-bayesiano.html,11,H3,Preguntas frecuentes
ab-testing-potencia.html,1,H1,"MDE, potencia y tamaño muestral — A/B testing"
ab-testing-potencia.html,2,H2,Calculadora
ab-testing-potencia.html,3,H3,Cómo leer el gráfico
ab-testing-potencia.html,4,H3,Conceptos clave antes de empezar
ab-testing-potencia.html,5,H3,Nivel de significación α — riesgo de falso positivo
ab-testing-potencia.html,6,H3,Potencia estadística 1−β — capacidad de detectar un efecto real
ab-testing-potencia.html,7,H3,MDE — efecto mínimo detectable
ab-testing-potencia.html,8,H3,Tasa base p_A y tasa esperada p_B
ab-testing-potencia.html,9,H3,Fórmulas utilizadas
ab-testing-potencia.html,10,H3,Ejemplo resuelto
ab-testing-potencia.html,11,H3,Cómo interpretar cada resultado
ab-testing-potencia.html,12,H3,Modo: Tamaño muestral
ab-testing-potencia.html,13,H3,Modo: Potencia
ab-testing-potencia.html,14,H3,Modo: MDE
ab-testing-potencia.html,15,H3,Recomendaciones prácticas
ab-testing-potencia.html,16,H3,Calculadoras relacionadas
ab-testing-potencia.html,17,H3,Preguntas frecuentes
ab-testing-simulacion.html,1,H1,Simulación de experimentos A/B
ab-testing-simulacion.html,2,H2,Parámetros de simulación
ab-testing-simulacion.html,3,H3,Qué simula esta herramienta
ab-testing-simulacion.html,4,H3,Ejemplo resuelto
ab-testing-simulacion.html,5,H3,¿Para qué sirve simular un test A/B?
ab-testing-simulacion.html,6,H3,Cómo leer el histograma de z
ab-testing-simulacion.html,7,H3,Cómo leer la distribución de p-valores
ab-testing-simulacion.html,8,H3,Calculadoras relacionadas
ab-testing-simulacion.html,9,H3,Preguntas frecuentes
ab-testing-z-test.html,1,H1,Test Z de conversión — A/B testing
ab-testing-z-test.html,2,H2,Calculadora
ab-testing-z-test.html,3,H3,Hipótesis y estadístico
ab-testing-z-test.html,4,H3,Corrección por continuidad de Yates
ab-testing-z-test.html,5,H3,Intervalo de confianza para la diferencia
ab-testing-z-test.html,6,H3,¿Qué calcula esta herramienta?
ab-testing-z-test.html,7,H3,Cuándo usar la corrección de Yates
ab-testing-z-test.html,8,H3,Cómo interpretar el resultado
ab-testing-z-test.html,9,H3,Ejemplo resuelto: test Z en A/B testing
ab-testing-z-test.html,10,H3,Calculadoras relacionadas
ab-testing-z-test.html,11,H3,Preguntas frecuentes
anova.html,1,H1,Calculadora online de ANOVA de un factor
anova.html,2,H3,¿Qué contrasta el ANOVA?
anova.html,3,H2,Calculadora
anova.html,4,H3,Visualización del contraste F
anova.html,5,H3,Fórmulas del ANOVA de un factor
anova.html,6,H3,Ejemplo resuelto
anova.html,7,H3,Cómo interpretar el resultado
anova.html,8,H3,Supuestos importantes
anova.html,9,H3,Después de un ANOVA significativo
anova.html,10,H3,Calculadoras relacionadas
anova.html,11,H3,Preguntas frecuentes
bernoulli.html,1,H1,Distribución Bernoulli
bernoulli.html,2,H2,Configuración
bernoulli.html,3,H2,Resultado y visualización
bernoulli.html,4,H3,Distribución Bernoulli
bernoulli.html,5,H3,Explicación breve
bernoulli.html,6,H3,Fórmula
bernoulli.html,7,H3,Parámetros
bernoulli.html,8,H3,Ejemplo resuelto
bernoulli.html,9,H3,¿Qué calcula esta herramienta?
bernoulli.html,10,H3,Cómo interpretar el resultado
bernoulli.html,11,H3,Calculadoras relacionadas
bernoulli.html,12,H3,Preguntas frecuentes
beta.html,1,H1,Distribución Beta
beta.html,2,H2,Configuración
beta.html,3,H2,Resultado y visualización
beta.html,4,H3,Distribución beta
beta.html,5,H3,Explicación breve
beta.html,6,H3,Fórmula
beta.html,7,H3,Parámetros
beta.html,8,H3,Ejemplo resuelto
beta.html,9,H3,¿Qué calcula esta herramienta?
beta.html,10,H3,Cómo interpretar el resultado
beta.html,11,H3,Calculadoras relacionadas
beta.html,12,H3,Preguntas frecuentes
binomial.html,1,H1,Calculadora binomial online
binomial.html,2,H2,Configuración
binomial.html,3,H2,Resultado y visualización
binomial.html,4,H3,Distribución binomial
binomial.html,5,H3,Explicación breve
binomial.html,6,H3,Fórmula
binomial.html,7,H3,Parámetros
binomial.html,8,H3,Ejemplo resuelto
binomial.html,9,H3,¿Qué calcula esta herramienta?
binomial.html,10,H3,Cómo interpretar el resultado
binomial.html,11,H3,Ejemplo resuelto: éxitos en ensayos independientes
binomial.html,12,H3,Calculadoras relacionadas
binomial.html,13,H3,Preguntas frecuentes
centralf.html,1,H1,Calculadora F de Snedecor online
centralf.html,2,H2,Configuración
centralf.html,3,H2,Resultado y visualización
centralf.html,4,H3,Distribución F de Snedecor
centralf.html,5,H3,Explicación breve
centralf.html,6,H3,Fórmula
centralf.html,7,H3,Parámetros
centralf.html,8,H3,Ejemplo resuelto
centralf.html,9,H3,¿Qué calcula esta herramienta?
centralf.html,10,H3,Cómo interpretar el resultado
centralf.html,11,H3,Calculadoras relacionadas
centralf.html,12,H3,Preguntas frecuentes
chi-cuadrado-bondad-ajuste.html,1,H1,Calculadora de chi-cuadrado de bondad de ajuste
chi-cuadrado-bondad-ajuste.html,2,H2,Calculadora
chi-cuadrado-bondad-ajuste.html,3,H3,Explicación breve
chi-cuadrado-bondad-ajuste.html,4,H3,Hipótesis y estadístico
chi-cuadrado-bondad-ajuste.html,5,H3,Contraste rápido
chi-cuadrado-bondad-ajuste.html,6,H3,Ejemplo resuelto
chi-cuadrado-bondad-ajuste.html,7,H3,¿Qué calcula esta herramienta?
chi-cuadrado-bondad-ajuste.html,8,H3,Fórmula
chi-cuadrado-bondad-ajuste.html,9,H3,Cómo interpretar el resultado
chi-cuadrado-bondad-ajuste.html,10,H3,Calculadoras relacionadas
chi-cuadrado-bondad-ajuste.html,11,H3,Preguntas frecuentes
chisquare.html,1,H1,Calculadora chi cuadrado online
chisquare.html,2,H2,Configuración
chisquare.html,3,H2,Resultado y visualización
chisquare.html,4,H3,Distribución chi-cuadrado
chisquare.html,5,H3,Explicación breve
chisquare.html,6,H3,Fórmula
chisquare.html,7,H3,Parámetros
chisquare.html,8,H3,Ejemplo resuelto
chisquare.html,9,H3,¿Qué calcula esta herramienta?
chisquare.html,10,H3,Cómo interpretar el resultado
chisquare.html,11,H3,Calculadoras relacionadas
chisquare.html,12,H3,Preguntas frecuentes
contraste-hipotesis-correlacion.html,1,H1,Calculadora online de contraste de hipótesis para la correlación de Pearson
contraste-hipotesis-correlacion.html,2,H2,Calculadora
contraste-hipotesis-correlacion.html,3,H3,Explicación breve
contraste-hipotesis-correlacion.html,4,H3,Hipótesis y estadísticos
contraste-hipotesis-correlacion.html,5,H3,Guía rápida de interpretación
contraste-hipotesis-correlacion.html,6,H3,¿Por qué la transformación de Fisher?
contraste-hipotesis-correlacion.html,7,H3,Ejemplo resuelto
contraste-hipotesis-correlacion.html,8,H3,¿Qué calcula esta herramienta?
contraste-hipotesis-correlacion.html,9,H3,Fórmula
contraste-hipotesis-correlacion.html,10,H3,Cómo interpretar el resultado
contraste-hipotesis-correlacion.html,11,H3,Calculadoras relacionadas
contraste-hipotesis-correlacion.html,12,H3,Preguntas frecuentes
contraste-hipotesis-dos-medias.html,1,H1,Calculadora online de contraste de hipótesis para dos medias
contraste-hipotesis-dos-medias.html,2,H2,Calculadora
contraste-hipotesis-dos-medias.html,3,H3,Explicación breve
contraste-hipotesis-dos-medias.html,4,H3,Hipótesis y estadístico
contraste-hipotesis-dos-medias.html,5,H3,Contraste rápido
contraste-hipotesis-dos-medias.html,6,H3,¿También hay versión con desviación poblacional conocida?
contraste-hipotesis-dos-medias.html,7,H3,Ejemplo resuelto
contraste-hipotesis-dos-medias.html,8,H3,¿Qué calcula esta herramienta?
contraste-hipotesis-dos-medias.html,9,H3,Fórmula
contraste-hipotesis-dos-medias.html,10,H3,Cómo interpretar el resultado
contraste-hipotesis-dos-medias.html,11,H3,Calculadoras relacionadas
contraste-hipotesis-dos-medias.html,12,H3,Preguntas frecuentes
contraste-hipotesis-dos-proporciones.html,1,H1,Calculadora online de contraste de hipótesis para dos proporciones
contraste-hipotesis-dos-proporciones.html,2,H2,Calculadora
contraste-hipotesis-dos-proporciones.html,3,H3,Explicación breve
contraste-hipotesis-dos-proporciones.html,4,H3,Hipótesis y estadístico
contraste-hipotesis-dos-proporciones.html,5,H3,Contraste rápido
contraste-hipotesis-dos-proporciones.html,6,H3,¿Qué calcula esta herramienta?
contraste-hipotesis-dos-proporciones.html,7,H3,Fórmula
contraste-hipotesis-dos-proporciones.html,8,H3,Ejemplo resuelto
contraste-hipotesis-dos-proporciones.html,9,H3,Cómo interpretar el resultado
contraste-hipotesis-dos-proporciones.html,10,H3,Ejemplo resuelto: comparación de conversiones
contraste-hipotesis-dos-proporciones.html,11,H3,Calculadoras relacionadas
contraste-hipotesis-dos-proporciones.html,12,H3,Preguntas frecuentes
contraste-hipotesis-dos-varianzas.html,1,H1,Calculadora de contraste de dos varianzas (test F de Snedecor)
contraste-hipotesis-dos-varianzas.html,2,H2,Calculadora
contraste-hipotesis-dos-varianzas.html,3,H3,Explicación breve
contraste-hipotesis-dos-varianzas.html,4,H3,Hipótesis y estadístico
contraste-hipotesis-dos-varianzas.html,5,H3,Contraste rápido
contraste-hipotesis-dos-varianzas.html,6,H3,Ejemplo resuelto
contraste-hipotesis-dos-varianzas.html,7,H3,¿Qué calcula esta herramienta?
contraste-hipotesis-dos-varianzas.html,8,H3,Cómo interpretar el resultado
contraste-hipotesis-dos-varianzas.html,9,H3,Calculadoras relacionadas
contraste-hipotesis-dos-varianzas.html,10,H3,Preguntas frecuentes
contraste-hipotesis-medias-apareadas.html,1,H1,Calculadora online de contraste de hipótesis para medias apareadas
contraste-hipotesis-medias-apareadas.html,2,H2,Calculadora
contraste-hipotesis-medias-apareadas.html,3,H3,Explicación breve
contraste-hipotesis-medias-apareadas.html,4,H3,Hipótesis y estadístico
contraste-hipotesis-medias-apareadas.html,5,H3,Guía rápida de decisión
contraste-hipotesis-medias-apareadas.html,6,H3,¿Cuándo usar el diseño apareado?
